LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
PATTERSON,"50,950",79,25.70%,104,"198,557"
HUNTER,"49,874",80,32.30%,153,"154,410"
OWENS,"49,127",81,27.90%,126,"176,334"
GRANT,"49,030",82,36.60%,192,"134,034"
MARSHALL,"46,696",83,26.40%,125,"177,213"
HENRY,"46,416",84,28.80%,142,"161,392"
MORGAN,"45,523",85,16.50%,62,"276,400"
PRICE,"45,271",86,19.80%,84,"228,756"
WALLACE,"45,267",87,23.70%,113,"190,760"
WARD,"45,157",88,17.80%,71,"254,121"
HAYES,"45,087",89,24.00%,117,"187,473"
BOYD,"44,753",90,29.90%,164,"149,476"
FREEMAN,"44,690",91,27.50%,140,"162,686"
GRAHAM,"44,094",92,22.70%,108,"194,074"
HAMILTON,"44,016",93,22.70%,107,"194,331"
FRANKLIN,"43,394",94,37.80%,236,"114,859"
HAWKINS,"42,995",95,32.10%,191,"134,066"
GORDON,"42,173",96,27.20%,151,"154,934"
SIMS,"41,975",97,39.10%,254,"107,244"
HARRISON,"41,717",98,23.80%,128,"175,577"
ELLIS,"41,117",99,22.60%,121,"181,934"
KELLY,"40,308",100,15.50%,69,"260,385"
HICKS,"40,156",101,26.10%,155,"153,618"
BENNETT,"39,468",102,16.50%,78,"239,055"
JOSEPH,"39,087",103,48.80%,356,"80,030"
GIBSON,"38,857",104,21.10%,119,"184,420"
CRAWFORD,"38,692",105,24.50%,146,"158,121"
JEFFERSON,"38,644",106,75.20%,594,"51,361"
WATKINS,"38,424",107,31.40%,222,"122,447"
TUCKER,"38,403",108,23.60%,139,"162,933"
PORTER,"38,334",109,24.40%,148,"156,848"
WILLIS,"38,165",110,30.40%,216,"125,627"
MASON,"38,062",111,24.50%,149,"155,484"
MATTHEWS,"36,765",112,29.40%,217,"124,839"
FIELDS,"36,341",113,35.20%,264,"103,242"
COOK,"36,171",114,12.30%,60,"294,795"
HUGHES,"35,441",115,15.50%,83,"229,390"
SIMPSON,"35,019",116,22.10%,145,"158,241"
HUDSON,"34,294",117,26.20%,202,"130,793"
COLE,"34,178",118,18.20%,116,"187,793"
WARREN,"34,151",119,23.10%,166,"147,906"
RUSSELL,"34,017",120,15.80%,93,"215,432"
WEST,"33,547",121,17.80%,115,"188,464"
REID,"33,293",122,32.00%,263,"104,007"
MURPHY,"33,145",123,11.00%,58,"300,501"
WELLS,"33,001",124,19.30%,131,"170,635"
MACK,"32,489",125,48.40%,441,"67,154"
MURRAY,"32,346",126,18.10%,123,"178,414"
DOUGLAS,"32,293",127,33.50%,286,"96,425"
BRADLEY,"32,021",128,24.40%,200,"131,289"
FRAZIER,"31,921",129,36.10%,314,"88,325"
SHAW,"31,391",130,20.20%,150,"155,172"
HARPER,"30,734",131,25.60%,226,"119,868"
GREENE,"30,523",132,25.50%,228,"119,604"
ROBERTSON,"30,421",133,20.20%,159,"150,299"
PAYNE,"30,408",134,22.00%,183,"138,028"
PERKINS,"30,405",135,24.00%,212,"126,951"
BYRD,"30,373",136,34.20%,311,"88,811"
SPENCER,"30,317",137,22.60%,189,"134,443"
WEBB,"30,015",138,18.40%,137,"163,481"
OLIVER,"29,931",139,26.80%,248,"111,641"
COX,"29,311",140,11.60%,72,"253,771"
AUSTIN,"28,856",141,25.50%,241,"113,160"
BERRY,"28,806",142,22.30%,205,"129,405"
LAWRENCE,"28,743",143,23.10%,219,"124,321"
MCDONALD,"28,633",144,16.30%,127,"176,094"
MONTGOMERY,"28,630",145,25.50%,246,"112,144"
LOVE,"28,400",146,36.30%,363,"78,323"
MCCOY,"28,100",147,26.40%,258,"106,481"
BURTON,"27,893",148,26.00%,255,"107,158"
BLACK,"27,875",149,18.60%,160,"150,186"
KNIGHT,"27,401",150,20.80%,199,"131,860"
HARVEY,"27,036",151,24.10%,247,"112,136"
ANDREWS,"26,950",152,20.80%,206,"129,320"
CUNNINGHAM,"26,907",153,20.40%,198,"131,896"
STEPHENS,"26,666",154,19.20%,181,"138,742"
ARMSTRONG,"26,386",155,20.30%,204,"129,982"
PETERSON,"26,349",156,9.60%,63,"275,041"
GLOVER,"26,288",157,41.00%,468,"64,180"
LONG,"26,261",158,11.80%,86,"223,494"
HAYNES,"26,260",159,32.00%,341,"82,037"
RILEY,"26,257",160,20.50%,210,"127,960"
HAMPTON,"26,233",161,39.50%,451,"66,378"
WADE,"26,114",162,28.10%,297,"92,834"
MILES,"26,055",163,31.80%,342,"81,933"
PALMER,"26,035",164,17.30%,158,"150,407"
NEAL,"25,918",165,30.90%,333,"83,849"
GARDNER,"25,888",166,18.70%,182,"138,660"
FERGUSON,"25,677",167,18.00%,173,"142,256"
GARRETT,"25,403",168,23.60%,253,"107,777"
TATE,"25,230",169,37.50%,440,"67,208"
SINGLETON,"24,925",170,48.10%,584,"51,797"
HUNT,"24,819",171,16.30%,157,"151,986"
REYNOLDS,"24,450",172,12.50%,106,"195,598"
CURRY,"24,435",173,34.20%,410,"71,344"
CHARLES,"24,358",174,47.30%,589,"51,518"
CHAMBERS,"24,325",175,26.90%,305,"90,325"
HARDY,"24,308",176,31.70%,374,"76,608"
HINES,"24,273",177,35.60%,432,"68,145"
LITTLE,"24,026",178,23.40%,266,"102,718"
WALTON,"23,812",179,33.50%,414,"70,997"
RICE,"23,811",180,16.30%,169,"146,440"
MILLS,"23,799",181,16.10%,165,"147,909"
FISHER,"23,719",182,11.30%,100,"210,279"
MOSLEY,"23,614",183,52.80%,699,"44,698"
CALDWELL,"23,364",184,25.60%,301,"91,338"
BOOKER,"23,016",185,65.60%,902,"35,101"
ALSTON,"22,867",186,81.40%,1140,"28,089"
CARR,"22,858",187,20.10%,239,"113,892"
LAWSON,"22,703",188,19.70%,235,"115,186"
ROBERSON,"22,402",189,42.10%,569,"53,198"
KENNEDY,"22,278",190,13.00%,130,"171,636"
TERRY,"22,219",191,26.60%,336,"83,437"
HOUSTON,"22,107",192,40.90%,563,"54,026"
BURNS,"22,101",193,13.60%,141,"162,153"
MCGEE,"22,074",194,30.70%,404,"71,925"
RAY,"21,985",195,17.10%,208,"128,794"
MYERS,"21,920",196,9.70%,85,"224,824"
FULLER,"21,752",197,20.40%,256,"106,682"
STEVENSON,"21,642",198,29.70%,395,"72,892"
THORNTON,"21,540",199,26.50%,347,"81,191"
WATTS,"21,523",200,25.00%,324,"86,228"
DUNCAN,"21,493",201,16.50%,203,"130,419"
INGRAM,"21,426",202,32.10%,446,"66,665"
PEARSON,"21,315",203,21.60%,281,"98,728"
GAINES,"21,299",204,50.30%,739,"42,369"
DORSEY,"21,296",205,51.80%,763,"41,104"
FLOWERS,"21,287",206,39.20%,560,"54,277"
PARKS,"20,939",207,24.30%,322,"86,346"
LANE,"20,880",208,16.20%,209,"128,727"
GEORGE,"20,805",209,17.40%,227,"119,778"
STEVENS,"20,682",210,11.40%,122,"181,417"
STOKES,"20,593",211,35.10%,510,"58,687"
WARE,"20,470",212,43.80%,667,"46,682"
DAWSON,"20,224",213,25.20%,355,"80,190"
REESE,"19,897",214,27.70%,405,"71,754"
DENNIS,"19,810",215,26.50%,384,"74,784"
FRANCIS,"19,774",216,27.60%,406,"71,723"
HORTON,"19,628",217,23.50%,335,"83,523"
MCKINNEY,"19,598",218,24.30%,353,"80,616"
HOLLOWAY,"19,563",219,35.30%,540,"55,466"
JENNINGS,"19,462",220,22.40%,321,"87,038"
GRAVES,"19,361",221,23.60%,340,"82,179"
TYLER,"19,223",222,30.70%,477,"62,534"
HOPKINS,"19,185",223,20.30%,289,"94,603"
FLEMING,"18,918",224,21.50%,317,"87,949"
BATTLE,"18,882",225,78.90%,1359,"23,934"
WILLIAMSON,"18,785",226,16.70%,245,"112,216"
VAUGHN,"18,725",227,22.00%,327,"85,037"
WIGGINS,"18,718",228,38.70%,641,"48,355"
DUNN,"18,462",229,13.50%,185,"136,955"
CLAY,"18,427",230,39.80%,677,"46,264"
LUCAS,"18,406",231,18.30%,275,"100,417"
JACOBS,"18,325",232,15.90%,233,"115,540"
SUTTON,"18,243",233,20.90%,319,"87,373"
FLOYD,"18,152",234,28.30%,469,"64,141"
PIERRE,"18,129",235,76.90%,1379,"23,575"
DANIEL,"18,070",236,24.10%,380,"75,135"
RIVERS,"18,066",237,50.20%,879,"35,980"
MALONE,"18,014",238,26.00%,426,"69,257"
MOSS,"17,781",239,24.10%,389,"73,750"
DEAN,"17,728",240,16.20%,250,"109,230"
CLARKE,"17,625",241,28.20%,476,"62,546"
CHAPMAN,"17,583",242,14.10%,218,"124,614"
BUSH,"17,520",243,21.50%,346,"81,524"
LOGAN,"17,500",244,27.10%,465,"64,576"
SHELTON,"17,453",245,19.80%,313,"88,326"
BATES,"17,399",246,18.60%,293,"93,743"
GIBBS,"17,348",247,27.80%,478,"62,514"
PIERCE,"17,242",248,12.60%,186,"136,517"
ARNOLD,"17,217",249,12.60%,187,"136,315"
HOLLAND,"17,210",250,17.20%,276,"99,885"
SAUNDERS,"17,199",251,25.60%,439,"67,210"
HART,"17,115",252,12.90%,196,"132,466"
MCCRAY,"17,014",253,67.20%,1278,"25,300"
RHODES,"16,930",254,19.00%,310,"88,917"
WILKINS,"16,843",255,30.00%,532,"56,068"
GILBERT,"16,838",256,15.00%,243,"112,406"
TOWNSEND,"16,733",257,25.00%,444,"66,853"
RICHARDS,"16,687",258,13.30%,215,"125,653"
RODGERS,"16,532",259,22.60%,394,"73,021"
LOWE,"16,525",260,18.50%,309,"89,178"
MATHIS,"16,336",261,31.50%,585,"51,796"
MORRISON,"16,276",262,13.80%,231,"117,939"
NICHOLS,"16,124",263,11.40%,174,"141,936"
FLETCHER,"16,122",264,19.90%,352,"80,932"
CANNON,"16,118",265,23.70%,436,"67,923"
ELLIOTT,"16,107",266,12.20%,197,"132,457"
ROSE,"15,956",267,10.90%,168,"146,924"
HOWELL,"15,952",268,14.60%,249,"109,634"
ANTHONY,"15,868",269,30.40%,580,"52,146"
GLENN,"15,846",270,32.20%,627,"49,241"
GARNER,"15,844",271,22.00%,403,"72,052"
BOONE,"15,819",272,30.60%,587,"51,679"
PITTMAN,"15,807",273,30.00%,573,"52,689"
DICKERSON,"15,769",274,30.90%,602,"51,017"
NORMAN,"15,749",275,24.10%,461,"65,269"
SIMON,"15,679",276,21.00%,383,"74,839"
WHEELER,"15,624",277,12.80%,223,"121,684"
COBB,"15,450",278,24.20%,472,"63,739"
MONROE,"15,438",279,28.90%,567,"53,475"
BARNETT,"15,347",280,16.60%,300,"92,287"
BRANCH,"15,327",281,46.40%,967,"33,040"
CURTIS,"15,259",282,15.40%,280,"98,958"
LYONS,"15,259",282,18.60%,339,"82,258"
MCDANIEL,"15,131",284,17.50%,323,"86,317"
HUBBARD,"15,101",285,22.20%,435,"68,021"
WOODARD,"15,054",286,33.60%,696,"44,830"
LINDSEY,"15,030",287,24.60%,492,"61,199"
PAGE,"15,020",288,18.70%,354,"80,493"
MAYS,"14,955",289,38.40%,809,"38,914"
BOLDEN,"14,841",290,74.10%,1638,"20,015"
RANDOLPH,"14,820",291,37.30%,792,"39,742"
BRADFORD,"14,726",292,28.50%,586,"51,726"
COPELAND,"14,690",293,27.30%,565,"53,771"
PITTS,"14,665",294,30.30%,639,"48,462"
BLAKE,"14,625",295,21.10%,425,"69,279"
SULLIVAN,"14,620",296,6.80%,92,"215,640"
CHANDLER,"14,545",297,19.10%,379,"76,114"
MCCLAIN,"14,456",298,31.70%,688,"45,560"
CARROLL,"14,412",299,11.00%,201,"131,020"
COLLIER,"14,409",300,26.50%,556,"54,414"
MCKENZIE,"14,399",301,26.10%,544,"55,084"
BENJAMIN,"14,299",302,39.20%,868,"36,439"
POPE,"14,277",303,23.10%,486,"61,750"
CUMMINGS,"14,099",304,18.40%,372,"76,707"
MOODY,"14,052",305,22.50%,479,"62,344"
KELLEY,"14,044",306,10.20%,184,"137,555"
SMALL,"13,998",307,30.50%,681,"45,850"
WEAVER,"13,909",308,10.00%,179,"138,811"
WOOD,"13,873",309,5.60%,75,"247,299"
WHITFIELD,"13,853",310,48.60%,1125,"28,475"
TILLMAN,"13,798",311,47.80%,1110,"28,878"
MANNING,"13,794",312,19.10%,402,"72,069"
BULLOCK,"13,767",313,32.00%,722,"43,021"
HODGES,"13,698",314,19.90%,428,"68,868"
MCNEIL,"13,562",315,40.80%,961,"33,239"
WATERS,"13,506",316,20.50%,455,"65,817"
WILEY,"13,500",317,28.40%,653,"47,503"
CLAYTON,"13,477",318,24.60%,548,"54,875"
HARRELL,"13,475",319,27.80%,638,"48,471"
WILKERSON,"13,408",320,28.80%,670,"46,605"
BRIDGES,"13,347",321,25.50%,579,"52,260"
COTTON,"13,313",322,41.90%,1006,"31,759"
BARBER,"13,312",323,17.40%,376,"76,504"
HINTON,"13,297",324,40.00%,962,"33,209"
STANLEY,"13,275",325,14.10%,292,"93,817"
CROSS,"13,246",326,17.60%,382,"75,134"
BOWMAN,"13,230",327,12.90%,268,"102,239"
CALHOUN,"13,207",328,31.90%,757,"41,452"
BENSON,"13,182",329,15.60%,332,"84,233"
ONEAL,"13,165",330,28.50%,680,"46,161"
BURNETT,"13,134",331,22.70%,517,"57,859"
PATTON,"13,071",332,20.20%,464,"64,772"
BALDWIN,"13,068",333,16.50%,361,"79,151"
BLACKWELL,"13,037",334,28.00%,673,"46,495"
TERRELL,"12,992",335,38.30%,946,"33,914"
KNOX,"12,988",336,30.20%,724,"42,937"
GREGORY,"12,984",337,14.60%,312,"88,810"
WEBSTER,"12,980",338,18.50%,418,"70,123"
CRAIG,"12,964",339,14.50%,307,"89,591"
LLOYD,"12,934",340,21.10%,493,"61,154"
MAXWELL,"12,932",341,19.70%,458,"65,779"
BASS,"12,890",342,23.70%,559,"54,296"
WINSTON,"12,866",343,62.60%,1605,"20,537"
LYNCH,"12,853",344,11.20%,237,"114,448"
NEWTON,"12,831",345,17.70%,400,"72,328"
GILMORE,"12,746",346,27.10%,661,"47,050"
SOLOMON,"12,702",347,29.70%,726,"42,839"
ATKINS,"12,692",348,25.50%,619,"49,754"
PETERS,"12,685",349,9.50%,190,"134,231"
FOWLER,"12,643",350,12.30%,267,"102,620"
BONNER,"12,622",351,39.70%,1005,"31,761"
WHITAKER,"12,608",352,23.20%,558,"54,343"
STEELE,"12,602",353,14.90%,331,"84,353"
REEVES,"12,499",354,15.70%,358,"79,817"
BURGESS,"12,481",355,17.40%,407,"71,604"
BEASLEY,"12,473",356,27.00%,679,"46,179"
MOSES,"12,443",357,33.80%,858,"36,814"
RUFFIN,"12,371",358,81.10%,2188,"15,263"
HAIRSTON,"12,365",359,83.00%,2242,"14,891"
RAMSEY,"12,360",360,16.10%,373,"76,625"
HODGE,"12,275",361,24.30%,610,"50,577"
HOLT,"12,232",362,14.40%,329,"84,710"
CHERRY,"12,108",363,35.00%,922,"34,615"
POLK,"12,088",364,47.50%,1270,"25,438"
BREWER,"12,086",365,12.00%,274,"100,465"
RUCKER,"12,077",366,48.00%,1287,"25,160"
MUHAMMAD,"12,028",367,86.10%,2379,13972
NASH,"12,005",368,23.50%,601,"51,021"
CHRISTIAN,"12,001",369,23.40%,597,"51,177"
POOLE,"11,937",370,21.80%,549,"54,706"
HEARD,"11,927",371,53.70%,1469,"22,211"
BARRETT,"11,901",372,12.40%,288,"95,896"
STONE,"11,834",373,7.90%,162,"149,802"
GOODWIN,"11,830",374,16.80%,415,"70,333"
DILLARD,"11,806",375,39.20%,1062,"30,118"
CARSON,"11,801",376,21.10%,537,"55,821"
DAVENPORT,"11,774",377,21.70%,561,"54,206"
NORRIS,"11,768",378,13.80%,326,"85,212"
LEONARD,"11,721",379,13.10%,308,"89,198"
STARKS,"11,706",380,61.90%,1736,"18,911"
PAUL,"11,675",381,16.20%,401,"72,248"
GAMBLE,"11,633",382,35.90%,981,"32,377"
JOYNER,"11,583",383,41.10%,1134,"28,216"
MCBRIDE,"11,578",384,19.00%,495,"60,874"
EPPS,"11,557",385,61.50%,1747,"18,780"
HARMON,"11,550",386,15.90%,399,"72,414"
FARMER,"11,531",387,16.90%,431,"68,309"
RICHARD,"11,517",388,22.10%,581,"52,138"
ELLISON,"11,447",389,27.60%,756,"41,459"
MORTON,"11,440",390,19.50%,509,"58,788"
MCCALL,"11,417",391,27.70%,761,"41,231"
MCDOWELL,"11,335",392,23.90%,652,"47,526"
CHATMAN,"11,304",393,81.10%,2384,"13,935"
PATRICK,"11,302",394,19.40%,513,"58,257"
GREER,"11,261",395,20.60%,552,"54,611"
TYSON,"11,237",396,40.30%,1152,"27,911"
TOLBERT,"11,219",397,49.40%,1444,"22,720"
COVINGTON,"11,129",398,43.80%,1272,"25,403"
BISHOP,"11,073",399,9.70%,238,"114,034"
PRINCE,"11,048",400,24.70%,700,"44,640"
BALLARD,"11,013",401,18.50%,503,"59,660"
MIDDLETON,"11,007",402,27.00%,771,"40,708"
MCKNIGHT,"10,966",403,33.90%,980,"32,386"
STRONG,"10,940",404,25.20%,718,"43,430"
WYNN,"10,928",405,39.00%,1142,"28,048"
SIMMS,"10,868",406,41.30%,1221,"26,296"
MINOR,"10,849",407,36.60%,1078,"29,634"
GOODMAN,"10,808",408,15.10%,409,"71,482"
BURKS,"10,804",409,41.40%,1232,"26,115"
NIXON,"10,757",410,29.80%,877,"36,037"
SAMPSON,"10,749",411,28.90%,844,"37,234"
WALTERS,"10,741",412,10.30%,262,"104,281"
CLEMONS,"10,695",413,42.30%,1282,"25,265"
SAMUEL,"10,685",414,55.60%,1711,"19,225"
NEWMAN,"10,622",415,10.60%,273,"100,491"
STRICKLAND,"10,622",415,16.10%,456,"65,814"
LOUIS,"10,589",417,57.10%,1771,"18,552"
BURRELL,"10,577",418,45.90%,1414,"23,048"
MASSEY,"10,569",419,19.80%,568,"53,459"
SYKES,"10,546",420,39.90%,1214,"26,425"
WESLEY,"10,543",421,48.50%,1512,"21,734"
GIVENS,"10,494",422,44.00%,1364,"23,823"
NICHOLSON,"10,492",423,18.70%,534,"55,986"
PUGH,"10,423",424,26.90%,817,"38,691"
SAMUELS,"10,423",424,51.00%,1611,"20,422"
DUKES,"10,420",426,49.90%,1577,"20,870"
HUMPHREY,"10,415",427,21.90%,655,"47,470"
WELCH,"10,401",428,9.80%,259,"105,804"
POLLARD,"10,340",429,30.30%,937,"34,079"
CARPENTER,"10,331",430,8.10%,211,"127,073"
BRIGGS,"10,308",431,18.00%,522,"57,297"
SPEARS,"10,304",432,25.60%,785,"40,203"
DAY,"10,290",433,10.10%,271,"101,676"
HOOD,"10,253",434,19.10%,566,"53,737"
MCGHEE,"10,253",434,47.20%,1513,"21,727"
GILES,"10,195",436,26.10%,805,"39,002"
SMALLS,"10,182",437,93.40%,3049,10897
BLAIR,"10,158",438,13.50%,380,"75,135"
BUCHANAN,"10,155",439,15.90%,471,"63,825"
MCLEAN,"10,136",440,24.80%,768,"40,871"
HAMMOND,"10,133",441,15.10%,442,"67,063"
WILLIAM,"10,128",442,59.00%,1923,"17,164"
MADISON,"10,112",443,38.10%,1209,"26,548"
MCFADDEN,"10,095",444,33.40%,1058,"30,205"
WHITEHEAD,"10,091",445,23.30%,721,"43,310"
BLUE,"10,045",446,44.80%,1461,"22,422"
BURKE,"10,011",447,8.40%,229,"119,175"
WISE,"9,991",448,15.00%,445,"66,738"
MOBLEY,"9,951",449,36.00%,1160,"27,648"
KEMP,"9,910",450,22.20%,698,"44,701"
RANDALL,"9,901",451,18.90%,574,"52,495"
PEOPLES,"9,879",452,55.90%,1869,"17,664"
WALLS,"9,792",453,25.00%,801,"39,166"
DAVIDSON,"9,776",454,9.60%,269,"102,044"
COLBERT,"9,728",455,45.70%,1544,"21,306"
PAIGE,"9,722",456,52.30%,1766,"18,600"
GILL,"9,721",457,14.20%,430,"68,699"
MCNEAL,"9,661",458,50.00%,1702,"19,321"
MCCLENDON,"9,658",459,54.80%,1871,"17,614"
JAMISON,"9,651",460,36.50%,1211,"26,476"
MAY,"9,613",461,9.40%,270,"101,726"
CONNER,"9,606",462,15.40%,480,"62,335"
ENGLISH,"9,578",463,21.30%,692,"45,032"
GARY,"9,573",464,45.10%,1555,"21,213"
SLAUGHTER,"9,533",465,36.50%,1234,"26,088"
MCMILLAN,"9,510",466,24.40%,810,"38,896"
BLACKMON,"9,506",467,45.90%,1589,"20,711"
GATES,"9,470",468,18.70%,607,"50,748"
LOCKETT,"9,446",469,73.00%,2571,"12,943"
DUDLEY,"9,384",470,27.00%,912,"34,770"
MIMS,"9,367",471,51.30%,1808,"18,248"
HALE,"9,266",472,11.20%,338,"82,955"
GILLIAM,"9,239",473,32.90%,1141,"28,075"
CAIN,"9,231",474,16.00%,516,"57,873"
DIGGS,"9,213",475,68.70%,2468,"13,405"
GOLDEN,"9,195",476,19.20%,648,"47,839"
LOWERY,"9,188",477,22.00%,752,"41,670"
PRESTON,"9,147",478,19.90%,681,"45,850"
WYATT,"9,122",479,17.90%,604,"50,874"
GRIMES,"9,115",480,18.50%,626,"49,245"
BALL,"9,075",481,11.70%,366,"77,561"
TODD,"9,040",482,12.90%,423,"69,810"
MILTON,"9,030",483,45.40%,1652,"19,899"
PAYTON,"9,023",484,39.60%,1440,"22,773"
EVERETT,"9,021",485,23.30%,816,"38,702"
MCCULLOUGH,"9,019",486,20.40%,708,"44,123"
ARRINGTON,"8,998",487,42.40%,1554,"21,216"
SAVAGE,"8,991",488,18.60%,640,"48,367"
MCINTOSH,"8,989",489,22.20%,777,"40,453"
SHEPPARD,"8,981",490,25.30%,889,"35,554"
CROSBY,"8,973",491,23.10%,811,"38,844"
ROWE,"8,958",492,13.50%,452,"66,205"
RANDLE,"8,957",493,68.20%,2524,"13,133"
PRYOR,"8,948",494,33.10%,1189,"27,065"
CAMERON,"8,925",495,17.00%,578,"52,439"
BEARD,"8,921",496,18.90%,660,"47,128"
WOODSON,"8,921",496,54.10%,2014,"16,496"
ALFORD,"8,901",498,29.60%,1064,"30,050"
MYLES,"8,893",499,72.00%,2689,"12,348"
BENTON,"8,884",500,24.00%,851,"37,032"
PRATT,"8,833",501,14.80%,500,"59,801"
PRUITT,"8,832",502,20.80%,736,"42,463"
PICKETT,"8,826",503,28.90%,1046,"30,552"
BLOUNT,"8,803",504,46.60%,1738,"18,882"
DURHAM,"8,787",505,20.70%,740,"42,365"
CALLOWAY,"8,747",506,55.40%,2109,"15,784"
HARDEN,"8,713",507,34.50%,1284,"25,241"
TATUM,"8,696",508,37.30%,1395,"23,300"
BOND,"8,692",509,17.00%,603,"50,980"
NORWOOD,"8,691",510,40.10%,1520,"21,678"
AVERY,"8,634",511,23.10%,840,"37,440"
WALLER,"8,624",512,24.60%,904,"35,001"
NEWSOME,"8,590",513,37.70%,1438,"22,803"
ERVIN,"8,586",514,35.00%,1321,"24,511"
SHIELDS,"8,553",515,17.30%,623,"49,556"
HOGAN,"8,545",516,13.90%,488,"61,651"
SHEPHERD,"8,540",517,14.70%,515,"57,935"
BOWEN,"8,525",518,11.10%,370,"77,078"
BERNARD,"8,523",519,23.30%,864,"36,546"
WOOTEN,"8,512",520,28.20%,1060,"30,185"
JEAN,"8,499",521,55.50%,2172,"15,321"
ROLLINS,"8,473",522,25.10%,949,"33,797"
HOLLEY,"8,469",523,29.00%,1098,"29,215"
LAMBERT,"8,464",524,9.30%,303,"90,618"
BLAND,"8,463",525,33.60%,1286,"25,219"
MERRITT,"8,457",526,19.00%,701,"44,626"
HAYWOOD,"8,452",527,48.30%,1884,"17,485"
ODOM,"8,449",528,25.10%,953,"33,717"
DAWKINS,"8,441",529,60.60%,2382,"13,940"
BOYKIN,"8,430",530,50.90%,2008,"16,565"
HARGROVE,"8,416",531,43.00%,1676,"19,555"
SHANNON,"8,410",532,18.70%,693,"44,902"
